station_name,latitude_x,longitude_x,business_name,rating,review_count,distance_m,business_latitude,business_longitude,categories,address,city,state,postal_code,source,name,latitude_y,longitude_y,free_bikes,empty_slots,total_docks
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,The Ledbury,4.6,185,5430.955719223489,51.516819,-0.200107,Modern European,127 Ledbury Road,London,XGL,W11 2AQ,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,London House by Gordon Ramsay,4.3,28,1116.097340208645,51.4752375455418,-0.175284296168694,Modern European,7-9 Battersea Square,London,XGL,SW11 3RA,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Burger & Lobster,4.3,259,3662.196133951474,51.5069919134923,-0.145631313738818,"American, Burgers, Seafood",29 Clarges Street,Mayfair,XGL,W1J 7EF,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,The Ivy Chelsea Garden,3.9,104,1504.3526750369433,51.4871107,-0.1693342,"British, Bars",195-197 Kings Road,London,XGL,SW3 5EQ,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,The Five Fields,4.8,21,1840.8152222282731,51.4916609,-0.1611916,"British, Modern European",8-9 Blacklands Terrace,London,XGL,SW3 2SP,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Hawksmoor,4.5,100,2536.9201270391663,51.4974592155569,-0.166872303554917,"Steakhouses, British, Seafood",3 Yeoman's Row,London,XGL,SW3 2AL,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Burger & Lobster,4.4,119,2923.0363945703207,51.501441,-0.159432,"American, Seafood, Burgers",Fifth Floor Harvey Nichols,London,XGL,SW1X 7RJ,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Gymkhana,4.3,244,3892.5705603154984,51.50842,-0.1416607,"Indian, Cocktail Bars",42 Albemarle Street,London,XGL,W1S 4JH,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Da Mario Restaurant,4.3,218,3117.998920838722,51.4987228161749,-0.183567237647306,Italian,15 Gloucester Road,London,XGL,SW7 4PP,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,The Victoria,4.4,320,4344.888831851617,51.51350403679,-0.17119959969309,"Pubs, British",10a Strathearn Place,Paddington,XGL,W2 2NH,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Made in Italy,4.2,78,1508.678108463985,51.4860996,-0.1720436,Italian,249 King's Road,London,XGL,SW3 5EL,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Flat Iron,4.6,272,4651.228675317951,51.5108326561998,-0.124100585093387,Steakhouses,17-18 Henrietta Street,Covent Garden,XGL,WC2E 8QH,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,The Palomar Restaurant,4.7,143,4403.003021664839,51.5111632,-0.1327159,"Middle Eastern, Mediterranean",34 Rupert Street,London,XGL,W1D 6DN,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Hawksmoor,4.4,207,4159.2657220269875,51.5097072807539,-0.136161326657445,"Seafood, Steakhouses",5A Air Street,London,XGL,W1J 0AD,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Sketch,4.0,1105,4355.227912056257,51.5127614699071,-0.14159163911048,"French, Modern European, Cocktail Bars",9 Conduit Street,London,XGL,W1S 2XG,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Trinity Restaurant,4.3,42,1785.25708187001,51.463486516166,-0.141464751282,"Modern European, British",4 The Polygon,London,XGL,SW4 0JG,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Clos Maggiore,4.3,160,4708.939239865344,51.51166,-0.124695,"French, Mediterranean",33 King Street,London,XGL,WC2E 8JD,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Hawksmoor Seven Dials,4.4,430,4853.635144238234,51.5134998914001,-0.12567396291297,"British, Steakhouses, Cocktail Bars",11 Langley Street,London,XGL,WC2H 9JG,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,La Mia Mamma,4.5,34,1504.4222482800917,51.48605,-0.17216,Italian,257 King's Road,London,XGL,SW3 5EL,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Flat Iron,4.4,519,4353.004761034874,51.51212,-0.1384008,Steakhouses,17 Beak Street,London,XGL,W1F 9RW,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Cambridge Street,4.4,55,1973.3740436372923,51.4905412,-0.1449144,British,Artist Residence,London,XGL,SW1V 4QQ,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Kazan,4.4,142,2335.0153620698984,51.4927,-0.14072,Turkish,93-94 Wilton Road,London,XGL,SW1V 1DW,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Padella,4.5,313,5834.528109205619,51.5051451,-0.0899515,Italian,6 Southwark Street,London,XGL,SE1 1TQ,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,The Fat Bear,4.5,127,5821.258706080856,51.5131833881734,-0.10138103121642,"American, Soul Food, Cajun/Creole",61 Carter Lane,London,XGL,EC4V 5DY,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Maroush II,4.3,119,2491.5841303642483,51.49724,-0.164357,Middle Eastern,38 Beauchamp Place,London,XGL,SW3 1NU,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Hoppers,4.3,145,4679.245440913952,51.5135765075684,-0.131750002503395,"Sri Lankan, Asian Fusion",49 Frith Street,Soho,XGL,W1D 4SG,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Rocca,4.3,138,2309.33034410384,51.4928759536943,-0.176558382809162,Italian,73 Old Brompton Road,London,XGL,SW7 3LD,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Santa Maria del Sur,4.1,42,852.014885994317,51.4701274,-0.1497402,"Steakhouses, Argentine, Latin American",129 Queenstown Road,London,XGL,SW8 3RH,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Melanzana,4.3,27,1094.163048794046,51.4753048743646,-0.174966304893474,"Italian, Bars, Delis",140 Westbridge Road,London,XGL,SW11 3PF,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Kiln,4.3,88,4336.334085964183,51.5114108,-0.1360504,"Noodles, Thai",58 Brewer Street,London,XGL,W1F 9TL,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Fish in a Tie,4.3,34,1175.7443880038695,51.466824643682,-0.16962639686938,Mediterranean,105 Falcon Road,London,XGL,SW11 2PF,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Hide,4.5,64,3597.317163759069,51.5061568370745,-0.144324263574846,"French, Wine Bars, British",85 Piccadilly,London,XGL,W1J 7NB,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,NOPI,4.2,305,4299.090945841878,51.511617,-0.1385226,Mediterranean,21-22 Warwick Street,London,XGL,W1B 5NE,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,The Marquis of Westminster,4.1,140,2246.4703187523623,51.491901,-0.140515,"British, Pubs",50 Warwick Way,London,XGL,SW1V 1RY,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Blacklock,4.6,167,4399.7077245106475,51.511687,-0.134762,"British, Cocktail Bars, Steakhouses",The Basement,London,XGL,W1D 7LG,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,The Wolseley,4.0,695,3822.360774776941,51.507617,-0.141012,"Cafes, British, Tea Rooms",160 Picadilly,London,XGL,W1J 9EB,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Rules,4.0,267,4685.152718611726,51.5108207,-0.1232501,"British, Bars",35 Maiden Lane,London,XGL,WC2E 7LB,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Regency Café,4.5,520,2807.216009072707,51.4940143171,-0.13222007974201,Cafes,17-19 Regency Street,London,XGL,SW1P 4BY,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Dishoom,4.6,449,632.0624436635622,51.5012974019964,-0.191184893250465,"Indian, Breakfast & Brunch",4 Derry Street,Kensington,XGL,W8 5SE,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Da Mario Restaurant,4.3,218,90.64845701447142,51.4987228161749,-0.183567237647306,Italian,15 Gloucester Road,London,XGL,SW7 4PP,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Ffiona's Restaurant,4.7,336,921.2701066964336,51.50405773515,-0.192783395566043,British,51 Kensington Church Street,London,XGL,W8 4BA,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Dinner by Heston Blumenthal,4.4,322,1718.0969356951011,51.502163,-0.159966,British,66 Knightsbridge,London,XGL,SW1X 7LA,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,The Harwood Arms,4.5,155,1884.7718366122283,51.4829113087309,-0.196470990454087,"Gastropubs, British",27 Walham Grove,London,XGL,SW6 1QP,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Petrus,4.5,145,1884.928986511748,51.4993674,-0.1565204,French,1 Kinnerton Street,London,XGL,SW1X 8EA,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,The Victoria,4.4,320,1940.5466023671509,51.51350403679,-0.17119959969309,"Pubs, British",10a Strathearn Place,Paddington,XGL,W2 2NH,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,The Churchill Arms,4.0,442,1256.3901357424909,51.5068261,-0.194781,"Pubs, Thai",119 Kensington Church Street,London,XGL,W8 7LN,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Hawksmoor,4.5,100,1175.3442421838388,51.4974592155569,-0.166872303554917,"Steakhouses, British, Seafood",3 Yeoman's Row,London,XGL,SW3 2AL,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Restaurant Gordon Ramsay,4.3,263,2024.8662525375605,51.485833,-0.161966,"French, British",68 Royal Hospital Road,London,XGL,SW3 4HP,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,The Mayfair Chippy,4.5,606,2701.5835280110264,51.5131345,-0.1533961,Fish & Chips,14 North Audley Street,London,XGL,W1K 6WE,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,The Shed,4.4,105,1414.3035661570532,51.5089417,-0.1937266,British,122 Palace Gardens Terrace,London,XGL,W8 4RT,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,The Milestone Hotel and Residences,4.8,40,494.97088036040265,51.50201555,-0.1866541,"Hotels, British",1-3 Kensington Court,London,XGL,W8 5DL,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Maggie Jones's,4.4,146,738.9775578317768,51.502856014927,-0.1909916674772,British,6 Old Court Place,London,XGL,W8 4PL,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,The Ledbury,4.6,185,2383.7479313111944,51.516819,-0.200107,Modern European,127 Ledbury Road,London,XGL,W11 2AQ,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Burger & Lobster,4.4,119,1733.8359998507538,51.501441,-0.159432,"American, Seafood, Burgers",Fifth Floor Harvey Nichols,London,XGL,SW1X 7RJ,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,The Blackbird,4.2,206,892.3171925423121,51.49178,-0.19211,"Pubs, British, Breakfast & Brunch",209 Earls Ct Road,London,XGL,SW5 9AN,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,The Queen's Arms,4.2,168,256.6614172275348,51.4992491095565,-0.180797918037262,"Pubs, British",30 Queen's Gate Mews,London,XGL,SW7 5QL,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Orjowan Lebanese Cuisine,4.5,129,870.1082322707542,51.4928295219961,-0.193373873798701,Middle Eastern,6 Kenway Road,London,XGL,SW5 0RR,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Zaika of Kensington,4.5,107,525.1105359294593,51.502166,-0.187171,Indian,1 Kensington High Street,London,XGL,W8 5NP,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,The Abingdon,4.2,61,848.13133012749,51.497629045444,-0.19607751802576,New American,54 Abingdon Road,London,XGL,W8 6AP,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Fait Maison,4.1,29,23.285902520073247,51.498051,-0.184063,"Mediterranean, Desserts, Coffee & Tea",50 Gloucester Road,London,XGL,SW7 4QT,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Rocca,4.3,138,754.2600537387865,51.4928759536943,-0.176558382809162,Italian,73 Old Brompton Road,London,XGL,SW7 3LD,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Sandwich Shop,4.3,35,8.042970879221775,51.4980207,-0.1839306,Sandwiches,54 Gloucester Road,London,XGL,SW7 4QT,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,The Swan,3.9,163,1599.026008423411,51.511656071976,-0.17697194507093,"Pubs, British",66 Bayswater Road,London,XGL,W2 3PH,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Dishoom,4.5,2846,4254.912193223751,51.512447030091,-0.1269579217873,Indian,12 Upper Saint Martin's Lane,London,XGL,WC2H 9FB,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Daquise,4.2,84,821.2459294322315,51.4943231,-0.1736183,"Polish, Modern European",20 Thurloe Street,London,XGL,SW7 2LT,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,The Champion- Notting Hill,4.2,131,1466.7045475169773,51.5100255,-0.1922685,"Pubs, British",1 Wellington Terrace,London,XGL,W2 4LW,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Ceru,4.8,50,723.5925484630471,51.4934256,-0.176283,"Middle Eastern, Coffee & Tea, Bars",7-9 Bute Street,London,XGL,SW7 3EY,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Maroush II,4.3,119,1344.3873465099118,51.49724,-0.164357,Middle Eastern,38 Beauchamp Place,London,XGL,SW3 1NU,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Comptoir Libanais,4.4,64,372.9810740278368,51.4946804479439,-0.182466405629542,Lebanese,77a Gloucester Road,Kensington,XGL,SW7 4SS,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,The Windsor Castle,4.0,131,1344.8110850580072,51.505787326816,-0.198597460985184,"Pubs, British",114 Campden Hill Road,London,XGL,W8 7AR,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Dishoom,4.5,808,3484.975551388627,51.513087,-0.139767,Indian,22 Kingly Street,London,XGL,W1B 5QP,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Addie's Thai Cafe,4.1,135,883.72819675138,51.493824,-0.194675,Thai,121 Earl's Court Road,London,XGL,SW5 9RL,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Bizzarro,4.1,226,1941.4015211332849,51.514853,-0.1772311,Italian,18-22 Craven Road,London,XGL,W2 3PX,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Wright Brothers - South Kensington,4.3,38,734.1328440472064,51.49316,-0.176494,Seafood,56 Old Brompton Road,London,XGL,SW7 3DY,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Halepi,4.0,119,1491.4450404523132,51.511329946838,-0.18310297196364,"Greek, Modern European, Kebab",18 Leinster Terrace,London,XGL,W2 3ET,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Honest Burgers South Kensington,4.5,72,815.0634328441712,51.4943572105538,-0.173549414864283,Burgers,24 Thurloe St,London,LND,SW7 2LT,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Mohsen,4.5,89,1357.981418111969,51.495177,-0.20302,"Persian/Iranian, Middle Eastern",152 Warwick Road,London,XGL,W14 8PS,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,The Queens Arms,4.4,251,3146.12421277094,51.4925789,-0.1392194,"British, Pubs, Gastropubs",11 Warwick Way,London,XGL,SW1V 1QT,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Balans Soho Society,4.2,109,837.0278628615396,51.4999833,-0.1956639,"Breakfast & Brunch, British, Cocktail Bars",187 Kensington High Street,London,XGL,W8 6SH,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,Amaya,4.1,205,1847.603060554858,51.4991557,-0.1572173,Indian,Halkin Arcade,London,XGL,SW1X 8JT,yelp,"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
